,PhraseNo,Phrase,IsHateSpeech
132,133,"['Patta', 'wesi', 'tota', 'henama', 'gahapan', 'totai', 'toge', 'anduwatai', 'lagadima', 'redi', 'netuwa', 'pare', 'duwanna', 'wei', 'edata', 'toge', 'hinsanayata', 'api', 'gal', 'gahanawa']",YES
136,137,"['Tho', 'sathutu', 'unaawagema', 'duk', 'wendath', 'wenawa']",YES
137,138,"['hotai', 'thindu', 'karapu', 'ekatai', 'me', 'rajayatai', 'henama', 'gahapiya']",YES
138,139,"['Kotinge', 'ata', 'deka', 'suppu', 'karapan', 'gihin', 'cari', 'wesi', 'Me', 'wesitanm', 'hodak', 'sidda', 'wenne', 'nehe', 'Hena', 'gahapan']",YES
140,141,"['Huththa', 'lokuda', 'danne', 'neeee']",YES
141,142,"['Usawiyeth', 'desapalana', 'theendu']",YES
142,143,"['Balu', 'huttita', 'hana', 'hatama', 'gahapiya']",YES
143,144,"['Hitan', 'magenguti', 'kanna', 'nethiwa', 'oya', 'unansewa', 'nidahas', 'karapan', 'hodaekaawage']",YES
145,146,"['Karumeta', 'gahala', 'akalata', 'haduna', 'wesiyo']",YES
146,147,"['LTTE', 'එකට', 'කඩේ', 'යන', 'NGO', 'සල්ලි', 'වලට', 'රට', 'පාවා', 'දෙන', 'හැත්ත']",YES
148,149,"['hora', 'ganayonta', 'kade', 'yana', 'gonnu', 'inna', 'ratak', 'meka']",YES
149,150,"['Me', 'genige', 'geta', 'gal', 'gahanna', 'lasthiweyalla']",YES
151,152,"['Puka', 'diyan', 'noel', 'mona', 'paiye', 'sinduda', 'hutto', 'me', 'සමාජෙට', 'හොද', 'දෙයක්', 'කරපන්']",YES
152,153,"['Mun', 'Rata', 'winasa', 'karalla', 'ewarayi']",YES
153,154,"['Ponna', 'wasi']",YES
154,155,"['Aknali', 'goda', 'maruna', 'aka', 'gana', 'api', 'sathutu', 'wenawa']",YES
156,157,"['Wesa', 'genita', 'hena', 'gahapiya', 'rate', 'nayakaya', 'ponnayek', 'unama', 'ohoma', 'tamai']",YES
158,159,"['ako', 'ratama', 'ltte', 'eke', 'salli', 'walata', 'wikka', 'munta', 'ira', 'hada', 'payanawaneeee']",YES
159,160,"['Nadukarayage', 'mulu', 'engema', 'gedidapn', 'okage', 'paaulama', 'hedigeviyan']",YES
160,161,"['Koti', 'gani', 'shapa', 'wewa', 'ubata']",YES
161,162,"['එහෙමද', 'ආස', 'කැරී', 'wecii']",YES
162,163,"['Makabawilama', 'pala', 'paduru', 'wesi']",YES
164,165,"['Meeka', 'pada', 'show', 'ekak']",YES
165,166,"['Thota', 'hena', 'gahapan', 'thoge', 'balu', 'patawuntath', 'Balu', 'weesi']",YES
166,167,"['Henama', 'gahapiya', 'wesa', 'ballita']",YES
167,168,"['Tope', 'anduwa', 'tiyana', 'an', 'hodai']",YES
168,169,"['Mekita', 'dan', 'miniha', 'nathuwa', 'aduwak', 'wena', 'ekak', 'ne']",YES
169,170,"['SATHUTU', 'NAM', 'PUKA', 'DEEPAN', 'WESA', 'BADUWA']",YES
170,171,"['Me', 'genige', 'jathae', 'kalwam', 'ekak']",YES
171,172,"['Yadamin', 'benda', 'vilangu', 'la', 'Mage', 'putha', 'regena', 'yanna', 'Idikatu', 'weni', 'engili', 'thala', 'Dethis', 'wadaya', 'pamunuwanna', 'Aluth', 'lowak', 'gena', 'sithima', 'Danduwam', 'dena', 'warada', 'nam', 'Kumata', 'erata', 'adhikaranaya', 'Neethiya', 'saha', 'vinisuran']",YES
172,173,"['Bona', 'unta', 'bus', 'eke', 'megala', 'gihin', 'bol', 'gahanna', 'thamai', 'tiyenne']",YES
175,176,"['Ponnayo', 'danne', 'kellek', 'aduwa', 'gaman', 'laga', 'inna', 'kollekta', 'Allan', 'gahanna', 'witharai']",YES
176,177,"['Ape', 'harak', 'samjeta', 'eka', 'honda', 'adrshyak']",YES
178,179,"['Tpita', 'pisuda', 'yako', 'man', 'htuwe', 'atta', 'kiyala', 'aiyo']",YES
179,180,"['Kimbak', 'eduwoth', 'ape', 'untath', 'amma', 'thaththawath', 'penne', 'n']",YES
180,181,"['Lisan', 'nathawa', 'yanna', 'puluwan', 'yako', 'api', 'dannawa', 'oka', 'veede', 'nattiyak', 'kiyala']",YES
184,185,"['Samanya', 'minasata', 'danena', 'de', 'me', 'kalakanni', 'desapalakayanta', 'penne', 'nathi', 'eka', 'thama', 'karume']",YES
188,189,"['Shampoo', 'එකක්', 'promote', 'කරන්න', 'දාපු', 'ලස්සන', 'මුට්ටියක්', 'කියලයි', 'මටනම්', 'හිතෙන්නෙ', 'බලපං', 'නැද්ද', 'කියලා', 'තා', 'ටික', 'දවසකින්']",YES
190,191,"['Dakune', 'shampoo', 'nadda']",NO
193,194,"['muladi', 'hinawey', 'digatama', 'karoth', 'devole', 'karala', 'hoda', 'idea', 'ekak']",NO
194,195,"['Hadannanam', 'puluvan', 'eth', 'oka', 'reddak', 'adan', 'dagena', 'yanne', 'kohomai', 'ape', 'handuruvane']",NO
195,196,"['Police', 'yen', 'navatthana', 'ekkak', 'na']",NO
196,197,"['Mathakane', 'kalayak', 'ape', 'un', 'fite', 'fan', 'ellan', 'gihin', 'rexona', 'market', 'kala']",NO
197,198,"['Pahadili', 'madi', 'visthara', 'karapu', 'hati']",NO
198,199,"['Me', 'mokkakda', 'bn', 'eka', 'dapuwahama', 'mahasona', 'wagene']",YES
200,201,"['ela', 'ela', 'thawa', 'thawath', 'mede', 'wadidinu', 'karanna']",NO
201,202,"['Game', 'gahapan', 'aiya', 'api', 'gannaw']",NO
204,205,"['Lankawen', 'desapalakayo', 'tikak', 'yawala', 'balamu', 'poster', 'gahana', 'widihata', 'thama', 'ita', 'passe']",YES
206,207,"['Comments', 'බලන්න', 'ආපු', 'අය', 'මෙතනින්', 'පොඩි', 'Like', 'එකක්', 'ඕනේ', 'Bro']",NO
208,209,"['paadam', 'karanawa', 'kese', 'wethath', 'putuwak', 'nan', 'aniwa', 'allagannawa', 'mama', 'puluwannan', 'putu', 'tikak', 'allala', 'business', 'line', 'ekakuth', 'gahagannawa', 'shape', 'eke']",NO
212,213,"['E', 'karpu', 'kathwa', 'nm', 'wedagth', 'm', 'kiuwath', 'oyala']",NO
213,214,"['Oshadhi', 'adui', 'Hama', 'gahapu', 'issek', 'wage']",YES
218,219,"['Oka', 'light', 'bala', 'bala', 'cheeneta', 'naya', 'gewamu']",YES
220,221,"['කෑමකඩත්', 'තියෙනවද', 'tomorrowland', 'වගේද', 'festival', 'එක', 'තව', 'hardwell', 'mashmellow', 'එනවද', 'edm', 'කරන්න']",NO
226,227,"['ඒකටනම්', 'දුම්', 'රිය', 'දෙපාර්තුමේන්තුවත්', 'වගකියන්න', 'ඕන', 'කෝච්චිය', 'රෑ', 'අවසාන', 'ට්', 'රිප්', 'එක', 'ගිහින්', 'ආවහම', 'කිසිම', 'නඩත්තුවක්', 'නැතුව', 'ආපහු', 'පහුවදා', 'උදේට', 'එන්ජිම', 'අනිත්', 'පැත්තට', 'අමුනල', 'ඇදගෙන', 'එනව', 'වගේ', 'මටනම්', 'පේන්නෙ', 'ඒකට', 'වරදක්', 'කියන්නත්', 'බෑ', 'බං', 'හරියට', 'maintenance', 'කරන්න', 'හරියට', 'සේවකයො', 'ගන්න', 'ඕන', 'උන්ට', 'පඩියක්', 'ගෙවන්න', 'ඕන', 'ඒව', 'කොරන්න', 'කොහෙඩ', 'රටට', 'සල්ලි', 'රටින්', 'ගන්න', 'ණය', 'අදාර', 'ඔක්කොම', 'ගිහිනුත්', 'මදි', 'පාර්ලිමේන්තුව', 'නඩත්තු', 'කරන්න', 'මට', 'තේරෙන්නෙ', 'නෑ', 'කතා', 'කරල', 'වැඩක්', 'නෑ', 'මේ', 'කෝච්චියෙ', 'යන්න', 'ටයි', 'කරන්න', 'එපා', 'ප්', 'රෙන්', 'තෙප්පමක්', 'හදාගෙන', 'හරි', 'කමක්', 'නෑ', 'ජීවත්', 'වෙන්න', 'පුලුවන්', 'රටකට', 'පලයල්ල']",NO
227,228,"['මේ', 'comment', 'වල', 'තියෙන', 'අදහස්', 'Facebook', 'එක', 'ඇතුලේම', 'පල්', 'නොකර', 'ස්ටේෂන්', 'වලයි', 'දුම්රිය', 'මැදිරි', 'ඇතුලෙයි', 'මිනිස්සුන්ට', 'දැනෙන', 'විදිහට', 'Display', 'කළා', 'නම්', 'භාෂා', '3න්ම', 'පින්තූරත්', 'එක්ක', 'පොඩි', 'වෙනසක්', 'හරි', 'දකින්න', 'පුළුවන්']",NO
233,234,"['Dubai', 'wala', 'thiyana', 'awaga', 'kama', 'kana', 'ak', 'thahanam', 'aduma', 'tharama', 'chuingam', 'wath', 'kanda', 'ba', 'aka', 'hama', 'thama', 'camara', 'thiyanawa', 'lagatama', 'avith', 'dada', 'gahanakn', 'danna', 'na', 'apa', 'minissu', 'wanas', 'karanda', 'amarui', 'akata', 'hodama', 'da', 'hariyata', 'nithi', 'hadanda', 'ona', 'owata', 'athokota', 'nikamma', 'purudu', 'wanawa']",NO
236,237,"['යන', 'එවුන්ටයි', 'මේ', 'කියන්නේ', 'මොන', 'තරම්', 'options', 'අවත්', 'කමක්', 'නෑ', 'එවගේ', 'ඒ', 'විදිහිට', 'ගිහින්', 'එක', 'පරිස්සමෙන්', 'පාවිච්චි', 'කරන්න', 'අපේ', 'දෙවල්', 'රැක', 'ගන්න']",NO
238,239,"['Usb', 'port', 'එකෙ', 'චුයින්ගම්', 'අලවාවි', 'වඩේ', 'කාල', 'කර්ටන්', 'එකේ', 'අත', 'පිහිදලා', 'කම්මැලිකමට', 'sheet', 'එක', 'කුශන්', 'කෑලි', 'කඩලා', 'tv', 'එක', 'කැඩුන', 'කියල', 'පොඩි', 'අව්ලක්', 'හදල', 'රෙපයාර්', 'කරන', 'එඋන්', 'ගෙදර', 'ගෙනියලා', 'fan', 'ගලවල', 'ටිකට්', 'කවුන්ටරෙට', 'සෙට්', 'කරලා', 'ටොයිලට්', 'ටික', 'වටේට', 'ජරා', 'කරලා', 'අර', 'ස්ටෙසමේ', 'නවත්තනකොටම', 'සුද්ද', 'කරන්න', 'නගින', 'සෙට්', 'එකක්', 'ඉන්නොනෙ', 'බූමිතෙල්', 'වැදිච්ච', 'ගැරඩි', 'වගේ', 'cleaners', 'ලා', 'උන්', 'තමයි', 'ඕකෙ', 'තීන', 'කුනු', 'පේන', 'ටික', 'අතුගාල', 'අනිත්ව', 'ශීටඅස්සට', 'තල්ලු', 'කරල', 'ලොකුම', 'සේවය', 'කරන්නෙ']",YES
242,243,"['Mewa', 'thiyana', 'widiyata', 'keedawasak', 'thiyaganna', 'puluwan', 'weida', 'ape', 'moda', 'noogathun', 'ekka']",YES
243,244,"['Wadenam', 'hondai', 'eth', 'ape', 'minisunge', 'winayath', 'ekka', 'mewa', 'araksha', 'karaganida']",NO
247,248,"['Ape', 'ratata', 'genna', 'ona', 'owa', 'newe', 'hoda', 'hadichcha', 'silachara', 'minissu', 'tikak', 'dan', 'inna', 'un', 'tikawa', 'koheta', 'hari', 'aduwata', 'vikunala', 'dala']",NO
249,250,"['Ehenm', 'palaweni', 'dawasema', 'train', 'ride', 'ekak', 'yanda', 'onee', 'mokada', 'dawas', 'deka', 'thunak', 'giyata', 'passe', 'owwa', 'mukuth', 'nee', 'ne']",NO
250,251,"['Hamadama', 'ithin', 'ahanna', 'wenne', 'kohen', 'hari', 'genapu', 'ekak', 'gana', 'thamai', 'Ape', 'rate', 'nispadanayak', 'kiyala', 'ahanna', 'wena', 'ekak', 'naha']",NO
251,252,"['Indiawen', 'genna', 'oneda', 'oowa', 'lankawe', 'ennawa', 'onnataran', 'weddo', 'oitawada', 'hodata', 'haganna', 'puluwan', 'kutti', 'pitin', 'ekapara', 'gasaganna', 'project', 'oowa']",NO
252,253,"['Owa', 'ta', 'army', 'eken', 'dala', 'arawage', 'pissu', 'natana', 'unge', 'kana', 'paluwa', 'nam', 'nikan', 'ma', 'hadeyi']",YES
253,254,"['Badulla', 'Jaffna', 'Kandy', 'yana', 'train', 'me', 'wage', 'Api', 'dawasawala', 'hondai', 'Dan', 'kohomada']",YES
